6325-31;;;
Num Parte;6325-31;Num Serie;6392-31
a;;;
Hora Comienzo:;11:06:13;;
Frecuencia Gen;Potencia Gen;Voltaje;Potencia
1000;0;-2.13398841;-2.13398841
1100;0;-2.403611947;-2.403611947
1200;0;-2.377707782;-2.377707782
1300;0;-2.269001278;-2.269001278
1400;0;-2.449406607;-2.449406607
1500;0;-2.477846454;-2.477846454
1600;0;-2.449522853;-2.449522853
1700;0;-2.649510255;-2.649510255
1800;0;-2.715010843;-2.715010843
1900;0;-2.715652578;-2.715652578
2000;0;-2.711508719;-2.711508719
2100;0;-2.943191299;-2.943191299
2200;0;-2.905190254;-2.905190254
2300;0;-2.985207834;-2.985207834
2400;0;-3.141933344;-3.141933344
2500;0;-3.12383832;-3.12383832
2600;0;-3.266866378;-3.266866378
2700;0;-3.298214835;-3.298214835
2800;0;-3.328400882;-3.328400882
2900;0;-3.444728231;-3.444728231
3000;0;-3.356002643;-3.356002643
3100;0;-3.548743073;-3.548743073
3200;0;-3.571609242;-3.571609242
3300;0;-3.673111266;-3.673111266
3400;0;-3.668407835;-3.668407835
3500;0;-3.785594586;-3.785594586
3600;0;-3.782906416;-3.782906416
3700;0;-3.94784391;-3.94784391
3800;0;-4.013569858;-4.013569858
3900;0;-4.055121559;-4.055121559
4000;0;-4.258696734;-4.258696734
4100;0;-4.07573187;-4.07573187
4200;0;-4.317539143;-4.317539143
4300;0;-4.243476019;-4.243476019
4400;0;-4.469791089;-4.469791089
4500;0;-4.502718793;-4.502718793
4600;0;-4.615918186;-4.615918186
4700;0;-4.506712697;-4.506712697
4800;0;-4.720273185;-4.720273185
4900;0;-4.714485514;-4.714485514
5000;0;-4.924663754;-4.924663754
5100;0;-5.056429942;-5.056429942
5200;0;-5.056665596;-5.056665596
5300;0;-5.095497164;-5.095497164
5400;0;-5.160848644;-5.160848644
5500;0;-5.44322696;-5.44322696
5600;0;-5.411115643;-5.411115643
5700;0;-5.874231201;-5.874231201
5800;0;-6.113259798;-6.113259798
5900;0;-6.632481085;-6.632481085
6000;0;-6.809565315;-6.809565315
6100;0;-6.776373766;-6.776373766
6200;0;-6.326667483;-6.326667483
6300;0;-6.395642458;-6.395642458
6400;0;-6.073542291;-6.073542291
6500;0;-5.98122312;-5.98122312
6600;0;-5.93740843;-5.93740843
6700;0;-5.915054084;-5.915054084
6800;0;-5.751787891;-5.751787891
6900;0;-5.964642601;-5.964642601
7000;0;-5.920497156;-5.920497156
7100;0;-5.878504673;-5.878504673
7200;0;-6.111727799;-6.111727799
7300;0;-5.990121629;-5.990121629
7400;0;-6.067258269;-6.067258269
7500;0;-6.334731183;-6.334731183
7600;0;-6.323630417;-6.323630417
7700;0;-6.491392489;-6.491392489
7800;0;-6.804003616;-6.804003616
7900;0;-7.092302326;-7.092302326
8000;0;-7.583230438;-7.583230438
8100;0;-8.341582443;-8.341582443
8200;0;-8.279233847;-8.279233847
8300;0;-8.232079962;-8.232079962
8400;0;-8.121702475;-8.121702475
8500;0;-7.573406626;-7.573406626
8600;0;-7.470577563;-7.470577563
8700;0;-7.874593694;-7.874593694
8800;0;-7.053057799;-7.053057799
8900;0;-7.016505541;-7.016505541
9000;0;-7.225888933;-7.225888933
9100;0;-6.993280689;-6.993280689
9200;0;-6.881575246;-6.881575246
9300;0;-7.033031624;-7.033031624
9400;0;-6.998944948;-6.998944948
9500;0;-6.819604385;-6.819604385
9600;0;-6.968409979;-6.968409979
9700;0;-6.889448534;-6.889448534
